sample_id,file,format,type,num_seqs,sum_len,min_len,avg_len,max_len
barcode01,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode01.fastq,FASTQ,DNA,4742,8673362,1,1829.1,131418
barcode02,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode02.fastq,FASTQ,DNA,4294,9945360,1,2316.1,31325
barcode03,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode03.fastq,FASTQ,DNA,1943,380011,1,195.6,18708
barcode04,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode04.fastq,FASTQ,DNA,907,113741,1,125.4,13677
barcode05,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode05.fastq,FASTQ,DNA,6397,8298452,1,1297.2,42019
barcode06,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode06.fastq,FASTQ,DNA,5515,20137436,1,3651.4,169134
barcode07,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode07.fastq,FASTQ,DNA,1698,719425,1,423.7,33205
barcode08,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode08.fastq,FASTQ,DNA,4067,5390262,1,1325.4,43104
barcode09,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode09.fastq,FASTQ,DNA,7314,3177337,1,434.4,364827
barcode10,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode10.fastq,FASTQ,DNA,750,352414,1,469.9,125423
barcode11,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode11.fastq,FASTQ,DNA,1370,5282581,1,3855.9,57822
barcode12,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode12.fastq,FASTQ,DNA,4901,4001110,1,816.4,28124
barcode13,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode13.fastq,FASTQ,DNA,10343,32078258,1,3101.4,53290
barcode14,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode14.fastq,FASTQ,DNA,4233,3293359,1,778,23385
barcode15,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode15.fastq,FASTQ,DNA,17486,71299877,1,4077.5,53656
barcode16,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode16.fastq,FASTQ,DNA,11122,15312307,1,1376.8,165314
barcode17,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode17.fastq,FASTQ,DNA,2145,2619869,1,1221.4,54253
barcode18,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode18.fastq,FASTQ,DNA,19129,118097148,1,6173.7,94006
barcode19,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode19.fastq,FASTQ,DNA,1406,2152002,1,1530.6,33947
barcode20,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode20.fastq,FASTQ,DNA,16156,81282815,1,5031.1,181082
barcode21,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode21.fastq,FASTQ,DNA,91195,372028993,1,4079.5,75338
barcode22,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode22.fastq,FASTQ,DNA,43746,216942358,1,4959.1,232508
barcode23,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode23.fastq,FASTQ,DNA,90164,511156551,1,5669.2,110504
barcode24,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode24.fastq,FASTQ,DNA,108596,462475632,1,4258.7,73463
barcode25,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode25.fastq,FASTQ,DNA,86938,308155274,1,3544.5,80716
barcode26,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode26.fastq,FASTQ,DNA,74047,333366844,1,4502.1,70316
barcode27,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode27.fastq,FASTQ,DNA,185628,839530137,1,4522.6,69725
barcode28,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode28.fastq,FASTQ,DNA,33883,66079284,1,1950.2,54865
barcode29,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode29.fastq,FASTQ,DNA,124228,604912187,1,4869.4,262278
barcode30,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode30.fastq,FASTQ,DNA,235742,1090220540,1,4624.6,556606
barcode31,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode31.fastq,FASTQ,DNA,122440,466894016,1,3813.2,201136
barcode32,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode32.fastq,FASTQ,DNA,85478,453036415,1,5300,84711
barcode33,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode33.fastq,FASTQ,DNA,32395,176490819,1,5448.1,60349
barcode34,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode34.fastq,FASTQ,DNA,32663,152950422,1,4682.7,92996
barcode35,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode35.fastq,FASTQ,DNA,159557,631047117,1,3955,98504
barcode36,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode36.fastq,FASTQ,DNA,79112,444587204,1,5619.7,69666
barcode37,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode37.fastq,FASTQ,DNA,79143,476292822,1,6018.1,101265
barcode38,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode38.fastq,FASTQ,DNA,73268,414544836,1,5657.9,96731
barcode39,/scratch/ky/characterization/FASTQ/SQK-RBK114-96_barcode39.fastq,FASTQ,DNA,133696,661660206,1,4949,182683
