#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_1	1403935	14	N	N	1	*	*,1,2
contig_3	887178	14	N	N	1	*	*,3,*
contig_4	688906	11	N	N	1	*	*,4,*
contig_9	679298	11	N	N	1	*	*,9,*
contig_26	517395	10	N	N	1	*	*,26,*
contig_50	84238	13	N	N	1	*	*,50,*
contig_64	60887	10	N	N	1	*	*,64,*
contig_43	18340	4	N	N	1	*	*,43,*
contig_18	17347	4	N	N	1	*	*,18,*
contig_5	16931	4	N	N	1	*	*,5,*
contig_49	16402	4	N	N	1	*	*,49,*
contig_55	15095	3	N	N	1	*	*,55,*
contig_54	12565	4	N	N	1	*	*,54,*
contig_30	10434	3	N	N	1	*	*,30,*
contig_59	10244	4	N	N	1	*	*,59,*
contig_41	10200	3	N	N	1	*	*,41,*
contig_48	10007	3	N	N	1	*	*,48,*
contig_51	9306	3	N	N	1	*	*,51,*
contig_8	9289	3	N	N	1	*	*,8,*
contig_53	9175	3	N	N	1	*	*,53,*
contig_24	8682	4	N	N	1	*	*,24,*
contig_47	8633	3	N	N	1	*	*,47,*
contig_46	7722	3	N	N	1	*	*,46,*
contig_10	7711	9	N	N	1	*	*,10,*
contig_22	7516	3	N	N	1	*	*,22,*
contig_21	7500	3	N	N	1	*	*,21,*
contig_38	7378	3	N	N	1	*	*,38,*
contig_16	7316	3	N	N	1	*	*,16,*
contig_44	6939	3	N	N	1	*	*,44,*
contig_52	6763	4	N	N	1	*	*,52,*
contig_19	6420	3	N	N	1	*	*,19,*
contig_40	6339	4	N	N	1	*	*,40,*
contig_58	6040	4	N	N	1	*	*,58,*
contig_20	5952	4	N	N	1	*	*,20,*
contig_29	5915	4	N	N	1	*	*,29,*
contig_57	5771	3	N	N	1	*	*,57,*
contig_37	5752	4	N	N	1	*	*,37,*
contig_25	5667	3	N	N	1	*	*,25,*
contig_13	5629	881	Y	N	80	*	13
contig_23	5579	10	N	N	1	*	*,23,*
contig_39	5578	4	N	N	1	*	*,39,*
contig_45	5282	4	N	N	1	*	*,45,*
contig_11	5169	3	N	N	1	*	*,11,*
contig_42	4871	3	N	N	1	*	*,42,*
contig_14	4543	55	Y	N	5	*	14
contig_60	4094	3	N	N	1	*	*,60,*
contig_65	4082	72	Y	Y	6	*	65
contig_27	4011	4	N	N	1	*	*,27,*
contig_35	3866	3	N	N	1	*	*,35,*
contig_31	3849	4	N	N	1	*	*,31,*
contig_62	3430	3	N	N	1	*	*,62,*
contig_34	3345	3	N	N	1	*	*,34,*
contig_17	3304	3	N	N	1	*	*,17,*
contig_7	2627	3	N	N	1	*	*,7,*
contig_28	2521	3	N	N	1	*	*,28,*
contig_56	2490	4	N	N	1	*	*,56,*
contig_6	2430	4	N	N	1	*	*,6,*
contig_15	2375	3	N	N	1	*	*,15,*
contig_36	2364	4	N	N	1	*	*,36,*
contig_33	2346	3	N	N	1	*	*,33,*
contig_12	2256	3	N	N	1	*	*,12,*
contig_63	2229	4	N	N	1	*	*,63,*
contig_32	2206	3	N	N	1	*	*,32,*
contig_61	2003	5	N	N	1	*	*,61,*
