#seq_name	length	coverage
contig_1	4911	4
contig_10	2725	3
contig_11	11289	4
contig_12	29151	6
contig_13	4737	3
contig_14	5583	5
contig_15	4605	4
contig_16	5640	4
contig_17	8533	3
contig_18	8361	3
contig_19	2542	46
contig_2	1725	19
contig_20	3364	4
contig_21	4724	5
contig_22	2467	3
contig_23	8776	4
contig_24	7426	3
contig_25	6441	3
contig_26	7183	3
contig_27	11909	3
contig_28	26423	3
contig_29	10794	3
contig_3	8562	3
contig_30	3000	4
contig_31	5258	3
contig_32	2260	3
contig_33	17892	4
contig_34	10485	6
contig_35	8706	4
contig_36	51732	11
contig_37	4374	8
contig_4	5388	4
contig_5	3570	5
contig_6	4134	3
contig_7	1640	4
contig_8	9363	3
contig_9	2467	4
