#seq_name	length	coverage
contig_1	14265	5
contig_3	15227	5
contig_10	13655	5
contig_5	27686	5
contig_11	34348	5
contig_16	47959	4
contig_19	35920	7
contig_12	12079	39
contig_23	22167	5
contig_14	58195	8
contig_27	10477	4
contig_24	45083	5
contig_26	40464	5
contig_2	101226	6
contig_30	6254	1
contig_4	90932	8
contig_29	17540	4
contig_15	107407	7
contig_33	18653	3
contig_36	8434	5
contig_31	32506	7
contig_32	40149	4
contig_41	3897	3
contig_39	14220	3
contig_35	21503	5
contig_13	132749	7
contig_43	3341	5
contig_40	17892	3
contig_25	87578	8
contig_34	51765	8
contig_22	144889	5
contig_8	165282	6
contig_46	40359	4
contig_28	112447	6
contig_9	3460	2
contig_18	186605	6
contig_38	752	0
contig_52	20236	5
contig_42	73140	7
contig_17	216402	6
contig_20	216003	7
contig_44	118690	6
contig_48	114449	4
contig_6	247855	6
contig_50	164758	6
contig_21	295381	7
contig_7	329438	7
contig_47	247699	6
contig_49	232384	7
contig_45	222724	8
contig_51	42871	68
