Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Translation table	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds
barcode01.fasta	bacteria_odb10	1.6	1.6	0.0	0.8	97.6	124	11	34788	34788	0.000%	15
barcode02.fasta	bacteria_odb10	22.6	22.6	0.0	3.2	74.2	124	11	19686	19686	0.000%	53
barcode05.fasta	bacteria_odb10	25.0	25.0	0.0	3.2	71.8	124	11	10786	10786	0.000%	37
barcode06.fasta	bacteria_odb10	83.1	83.1	0.0	9.7	7.3	124	11	89965	89965	0.000%	61
barcode08.fasta	bacteria_odb10	1.6	1.6	0.0	0.0	98.4	124	4	5519	5519	0.000%	11
barcode09.fasta	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	11	3726	3726	0.000%	1
barcode11.fasta	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	11	24550	24550	0.000%	1
barcode12.fasta	bacteria_odb10	4.0	4.0	0.0	0.0	96.0	124	4	11856	11856	0.000%	8
barcode13.fasta	bacteria_odb10	98.4	97.6	0.8	0.8	0.8	124	11	186572	186572	0.000%	48
barcode14.fasta	bacteria_odb10	2.4	2.4	0.0	0.0	97.6	124	11	15897	15897	0.000%	12
barcode15.fasta	bacteria_odb10	99.2	99.2	0.0	0.8	0.0	124	11	3292174	3292174	0.000%	6
barcode16.fasta	bacteria_odb10	66.1	65.3	0.8	4.0	29.8	124	11	18543	18543	0.000%	142
barcode17.fasta	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	11	54280	54280	0.000%	5
barcode18.fasta	bacteria_odb10	98.4	98.4	0.0	0.0	1.6	124	11	4651799	4651799	0.000%	1
barcode19.fasta	bacteria_odb10	0.0	0.0	0.0	0.0	100.0	124	4	10479	10479	0.000%	3
barcode20.fasta	bacteria_odb10	100.0	100.0	0.0	0.0	0.0	124	11	2953852	2953852	0.000%	4
barcode21.fasta	bacteria_odb10	100.0	100.0	0.0	0.0	0.0	124	11	5109269	5109269	0.000%	4
barcode22.fasta	bacteria_odb10	100.0	100.0	0.0	0.0	0.0	124	11	5079007	5079007	0.000%	6
barcode23.fasta	bacteria_odb10	100.0	100.0	0.0	0.0	0.0	124	11	4873200	4873200	0.000%	2
barcode24.fasta	bacteria_odb10	100.0	100.0	0.0	0.0	0.0	124	11	5169843	5169843	0.000%	4
barcode25.fasta	bacteria_odb10	100.0	100.0	0.0	0.0	0.0	124	11	5104164	5104164	0.000%	4
barcode26.fasta	bacteria_odb10	100.0	99.2	0.8	0.0	0.0	124	11	4932160	4932160	0.000%	6
barcode27.fasta	bacteria_odb10	100.0	100.0	0.0	0.0	0.0	124	11	4862357	4862357	0.000%	4
barcode28.fasta	bacteria_odb10	99.2	94.4	4.8	0.8	0.0	124	11	688889	688889	0.000%	64
barcode29.fasta	bacteria_odb10	100.0	100.0	0.0	0.0	0.0	124	11	4676996	4676996	0.000%	5
barcode30.fasta	bacteria_odb10	100.0	100.0	0.0	0.0	0.0	124	11	4675329	4675329	0.000%	41
barcode31.fasta	bacteria_odb10	100.0	99.2	0.8	0.0	0.0	124	11	4683130	4683130	0.000%	3
barcode32.fasta	bacteria_odb10	100.0	100.0	0.0	0.0	0.0	124	11	4948568	4948568	0.000%	5
barcode33.fasta	bacteria_odb10	100.0	100.0	0.0	0.0	0.0	124	11	4819457	4819457	0.000%	2
barcode34.fasta	bacteria_odb10	100.0	99.2	0.8	0.0	0.0	124	11	4984638	4984638	0.000%	7
barcode35.fasta	bacteria_odb10	100.0	100.0	0.0	0.0	0.0	124	11	4768517	4768517	0.000%	9
barcode36.fasta	bacteria_odb10	100.0	99.2	0.8	0.0	0.0	124	11	4980102	4980102	0.000%	3
barcode37.fasta	bacteria_odb10	100.0	0.0	100.0	0.0	0.0	124	11	4845340	4845340	0.000%	10
barcode38.fasta	bacteria_odb10	100.0	100.0	0.0	0.0	0.0	124	11	4653152	4653152	0.000%	7
barcode39.fasta	bacteria_odb10	100.0	100.0	0.0	0.0	0.0	124	11	4653157	4653157	0.000%	2
