#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_14:153404-154753|+ -            450 1093223at2           -            361   4.1e-91  303.9   0.0   1   1   6.2e-93   2.8e-90  301.2   0.0     2   358     9   449     8   449 0.82 contig_14_169 # 153404 # 154753 # 1 # ID=20_169;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.398
contig_42:23921-25291|+   -            457 1093223at2           -            361   9.4e-22   75.7   3.8   1   2   9.7e-07   0.00044   17.6   0.1    72    98   105   131    80   139 0.80 contig_42_26 # 23921 # 25291 # 1 # ID=8_26;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
contig_42:23921-25291|+   -            457 1093223at2           -            361   9.4e-22   75.7   3.8   2   2   2.7e-19   1.2e-16   58.9   0.6   130   327   181   424   177   431 0.77 contig_42_26 # 23921 # 25291 # 1 # ID=8_26;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
contig_14:128332-129804|+ -            491 1093223at2           -            361   2.7e-20   70.9   2.8   1   2   9.8e-20   4.4e-17   60.3   1.2    72   305   105   405    96   412 0.75 contig_14_140 # 128332 # 129804 # 1 # ID=20_140;partial=00;start_type=TTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.382
contig_14:128332-129804|+ -            491 1093223at2           -            361   2.7e-20   70.9   2.8   2   2       2.1   9.7e+02   -3.3   0.0   265   283   440   460   426   477 0.55 contig_14_140 # 128332 # 129804 # 1 # ID=20_140;partial=00;start_type=TTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.382
contig_42:22384-23778|+   -            465 1093223at2           -            361   1.7e-17   61.7   0.4   1   2   1.1e-09   4.9e-07   27.3   0.1    72   104   102   134    76   154 0.81 contig_42_25 # 22384 # 23778 # 1 # ID=8_25;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_42:22384-23778|+   -            465 1093223at2           -            361   1.7e-17   61.7   0.4   2   2   2.7e-11   1.2e-08   32.6   0.0   130   270   178   349   176   411 0.78 contig_42_25 # 22384 # 23778 # 1 # ID=8_25;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_44:3009-4376|-     -            456 1093223at2           -            361   8.9e-15   52.8   0.1   1   1   3.5e-17   1.6e-14   52.0   0.1    65   267    92   344    88   363 0.74 contig_44_4 # 3009 # 4376 # -1 # ID=46_4;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.385
contig_17:63777-65090|+   -            438 1093223at2           -            361   7.3e-14   49.8   0.0   1   1   2.3e-16   1.1e-13   49.2   0.0    50   255    75   312    54   329 0.81 contig_17_62 # 63777 # 65090 # 1 # ID=24_62;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_42:18763-20955|+   -            731 1093223at2           -            361   4.9e-11   40.5   0.9   1   2   2.7e-07   0.00012   19.4   0.1    72    98   371   397   334   403 0.83 contig_42_23 # 18763 # 20955 # 1 # ID=8_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.395
contig_42:18763-20955|+   -            731 1093223at2           -            361   4.9e-11   40.5   0.9   2   2   2.4e-07   0.00011   19.6   0.1   129   272   446   620   410   656 0.79 contig_42_23 # 18763 # 20955 # 1 # ID=8_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.395
contig_55:26552-27844|-   -            431 1093223at2           -            361   1.3e-05   22.6   0.0   1   2     4e-06    0.0018   15.6   0.0    69   115    38    84    23   115 0.83 contig_55_33 # 26552 # 27844 # -1 # ID=19_33;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.407
contig_55:26552-27844|-   -            431 1093223at2           -            361   1.3e-05   22.6   0.0   2   2    0.0084       3.8    4.6   0.0   164   223   221   273   161   290 0.74 contig_55_33 # 26552 # 27844 # -1 # ID=19_33;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.407
contig_4:19240-19992|+    -            251 1093223at2           -            361    0.0072   13.6   0.2   1   2      0.12        55    0.8   0.1   266   315    18    68    10    85 0.69 contig_4_24 # 19240 # 19992 # 1 # ID=22_24;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.402
contig_4:19240-19992|+    -            251 1093223at2           -            361    0.0072   13.6   0.2   2   2   0.00013     0.061   10.5   0.0   264   348   161   246   158   249 0.81 contig_4_24 # 19240 # 19992 # 1 # ID=22_24;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.402
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /scratch/ky/characterization/busco_downloads/lineages/bacteria_odb10/hmms/1093223at2.hmm
# Target file:     /scratch/ky/characterization/results/barcode06/polishing/busco_out/busco_barcode06/barcode06.fasta/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /scratch/ky/characterization/results/barcode06/polishing/busco_out/busco_barcode06/barcode06.fasta/run_bacteria_odb10/hmmer_output/1093223at2.out --cpu 1 /scratch/ky/characterization/busco_downloads/lineages/bacteria_odb10/hmms/1093223at2.hmm /scratch/ky/characterization/results/barcode06/polishing/busco_out/busco_barcode06/barcode06.fasta/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /scratch/ky/characterization
# Date:            Thu Mar 12 12:04:26 2026
# [ok]
