#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_4	47689	4	N	N	1	*	*,4,*
contig_13	45186	4	N	N	1	*	*,13,*
contig_92	43743	4	N	N	1	*	*,92,*
contig_142	39374	6	N	N	2	*	*,142,*
contig_28	38275	4	N	N	1	*	*,28,*
contig_8	37347	4	N	N	1	*	*,8,*
contig_114	35199	5	N	N	1	*	*,114,*
contig_118	33860	3	N	N	1	*	*,118,*
contig_105	32741	5	N	N	1	*	*,105,*
contig_83	30503	3	N	N	1	*	*,83,*
contig_88	27680	4	N	N	1	*	*,88,*
contig_139	27511	7	N	N	2	*	*,139,*
contig_101	27429	3	N	N	1	*	*,101,*
contig_65	26604	5	N	N	1	*	*,65,*
contig_26	25943	4	N	N	1	*	*,26,*
contig_69	25924	4	N	N	1	*	*,69,*
contig_9	25788	4	N	N	1	*	*,9,*
contig_110	24434	4	N	N	1	*	*,110,*
contig_140	22564	4	N	N	1	*	*,140,*
contig_64	21823	5	N	N	1	*	*,64,*
contig_103	21738	5	N	N	1	*	*,103,*
contig_111	21406	3	N	N	1	*	*,111,*
contig_91	21237	4	N	N	1	*	*,91,*
contig_138	21129	3	N	N	1	*	*,138,*
contig_120	21050	3	N	N	1	*	*,120,*
contig_41	20866	3	N	N	1	*	*,41,*
contig_85	20766	3	N	N	1	*	*,85,*
contig_53	20522	3	N	N	1	*	*,53,*
contig_112	20283	5	N	N	1	*	*,112,*
contig_1	20171	5	N	N	1	*	*,1,*
contig_7	20127	3	N	N	1	*	*,7,*
contig_32	20040	4	N	N	1	*	*,32,*
contig_97	19600	3	N	N	1	*	*,97,-98
contig_54	18649	3	N	N	1	*	*,54,*
contig_6	18547	4	N	N	1	*	*,6,*
contig_42	18481	5	N	N	1	*	*,42,*
contig_62	18253	4	N	N	1	*	*,62,*
contig_107	17714	7	N	N	2	*	*,107,*
contig_22	17632	5	N	N	1	*	*,22,*
contig_104	17454	6	N	N	2	*	*,104,*
contig_133	17155	5	N	N	1	*	*,133,*
contig_106	17020	5	N	N	1	*	*,106,*
contig_17	16635	4	N	N	1	*	*,17,*
contig_56	15599	3	N	N	1	*	*,56,*
contig_43	15558	4	N	N	1	*	*,43,*
contig_38	15109	4	N	N	1	*	*,38,*
contig_113	14907	7	N	N	2	*	*,113,*
contig_119	14886	4	N	N	1	*	*,119,*
contig_70	14639	3	N	N	1	*	*,70,*
contig_75	14509	4	N	N	1	*	*,75,*
contig_116	13874	7	N	N	2	*	*,116,*
contig_50	13727	3	N	N	1	*	*,50,*
contig_30	13670	4	N	N	1	*	*,30,*
contig_47	13639	4	N	N	1	*	*,47,*
contig_136	13602	5	N	N	1	*	*,136,*
contig_34	13500	4	N	N	1	*	*,34,*
contig_125	13461	8	N	N	2	*	*,125,*
contig_23	13269	6	N	N	2	*	*,23,*
contig_68	13014	3	N	N	1	*	*,68,*
contig_93	12817	7	N	N	2	*	*,93,*
contig_141	12729	3	N	N	1	*	*,141,*
contig_128	12642	3	N	N	1	*	*,128,*
contig_15	12488	3	N	N	1	*	*,15,*
contig_51	12172	3	N	N	1	*	*,51,*
contig_82	12172	4	N	N	1	*	*,82,*
contig_35	11919	3	N	N	1	*	*,35,*
contig_37	11856	3	N	N	1	*	*,37,*
contig_73	11848	4	N	N	1	*	*,73,*
contig_10	11804	5	N	N	1	*	*,10,*
contig_45	11657	3	N	N	1	*	*,45,*
contig_58	10854	4	N	N	1	*	*,58,*
contig_67	10847	4	N	N	1	*	*,67,*
contig_3	10694	4	N	N	1	*	*,3,*
contig_5	10416	4	N	N	1	*	*,5,*
contig_11	10220	3	N	N	1	*	*,11,*
contig_100	9860	3	N	N	1	*	*,100,*
contig_130	9723	5	N	N	1	*	*,130,*
contig_27	9200	3	N	N	1	*	*,27,*
contig_135	9199	5	N	N	1	*	*,135,*
contig_79	9112	3	N	N	1	*	*,79,*
contig_131	8900	3	N	N	1	*	*,131,*
contig_143	8773	18	Y	N	6	*	143
contig_72	8666	4	N	N	1	*	*,72,*
contig_20	8537	3	N	N	1	*	*,20,*
contig_19	8456	4	N	N	1	*	*,19,*
contig_29	8256	5	N	N	1	*	*,29,*
contig_81	8169	3	N	N	1	*	*,81,*
contig_121	8120	5	N	N	1	*	*,121,*
contig_129	7854	4	N	N	1	*	*,129,*
contig_122	7807	4	N	N	1	*	*,122,*
contig_108	7514	4	N	N	1	*	*,108,*
contig_40	7489	4	N	N	1	*	*,40,*
contig_137	7405	4	N	N	1	*	*,137,*
contig_127	7293	4	N	N	1	*	*,127,*
contig_24	7260	7	N	N	2	*	*,24,*
contig_55	7173	4	N	N	1	*	*,55,*
contig_134	7065	3	N	N	1	*	*,134,*
contig_52	7016	4	N	N	1	*	*,52,*
contig_124	6880	4	N	N	1	*	*,124,*
contig_90	6869	4	N	N	1	*	*,90,*
contig_123	6553	5	N	N	1	*	*,123,*
contig_33	6483	3	N	N	1	*	*,33,*
contig_109	6307	3	N	N	1	*	*,109,*
contig_77	6234	4	N	N	1	*	*,77,*
