# BUSCO version is: 6.0.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	contig_4	29908	33591	+	1746.4	1053	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Fragmented	contig_4	26961	29705	+	1125.2	641	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	contig_24	126847	124613	-	363.3	427	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Fragmented	contig_65	31436	29727	-	395.0	367	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	contig_32	26071	28050	+	772.3	490	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	contig_14	105428	107272	+	536.8	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Missing
219876at2	Complete	contig_5	9538	8384	-	323.4	260	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	contig_41	17870	19948	+	537.7	463	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	contig_65	59404	57635	-	603.2	473	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	contig_5	34250	35539	+	318.0	280	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	contig_24	124637	123213	-	277.5	282	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Fragmented	contig_29	1	843	+	187.8	190	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	contig_41	75168	76307	+	194.3	213	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	contig_17	84744	86012	+	325.1	284	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	contig_8	63782	65197	+	577.1	361	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	contig_63	25406	24168	-	181.0	222	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	contig_9	13716	12679	-	424.6	295	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	contig_2	16593	14887	-	304.4	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	contig_4	10208	11584	+	220.7	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	contig_63	21847	20555	-	383.5	285	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Missing
665824at2	Complete	contig_41	68025	69731	+	789.1	542	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	contig_29	36881	38857	+	205.5	309	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	contig_10	108848	109519	+	250.8	206	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	contig_8	61317	62825	+	660.1	409	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Fragmented	contig_44	29861	29706	-	38.5	45	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	contig_55	8776	7772	-	421.2	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	contig_24	123128	122073	-	436.2	311	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	contig_24	119782	118526	-	611.0	414	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	contig_55	53342	52110	-	98.4	215	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	contig_4	46948	47778	+	239.5	175	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	contig_10	139631	140812	+	256.0	259	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	contig_51	33191	34108	+	234.1	221	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	contig_14	160045	161244	+	263.0	220	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Fragmented	contig_50	10397	11191	+	260.7	201	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	contig_55	117381	115591	-	277.0	319	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	contig_41	62225	62950	+	160.4	154	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
