#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_1	14251	4	N	N	1	both	*	1
contig_2	101155	5	N	N	1	both	*	2
contig_3	15161	5	N	N	1	both	*	3
contig_4	90790	7	N	N	1	both	*	4
contig_5	27560	5	N	N	1	both	*	5
contig_6	247915	4	N	N	1	both	*	6
contig_7	329163	6	N	N	1	both	*	7
contig_8	165237	4	N	N	1	right	*	9,8
contig_10	13654	4	N	N	1	both	*	10
contig_11	34328	4	N	N	1	right	*	-9,11
contig_12	11905	32	Y	N	5	none	*	12
contig_13	132730	6	N	N	1	both	*	13
contig_14	58188	6	N	N	1	both	*	14
contig_15	107399	6	N	N	1	both	*	15
contig_16	47859	3	N	N	1	both	*	16
contig_17	216344	5	N	N	1	both	*	17
contig_18	186543	5	N	N	1	both	*	18
contig_19	35902	6	N	N	1	both	*	19
contig_20	215966	6	N	N	1	both	*	20
contig_21	295329	6	N	N	1	both	*	21
contig_22	144885	4	N	N	1	both	*	22
contig_23	22164	4	N	N	1	both	*	23
contig_24	45067	4	N	N	1	both	*	24
contig_25	87572	7	N	N	1	both	*	25
contig_26	40450	5	N	N	1	both	*	26
contig_27	10477	3	N	N	1	both	*	27
contig_28	112431	5	N	N	1	both	*	28
contig_29	17539	3	N	N	1	both	*	29
contig_30	6244	3	N	N	1	both	*	30
contig_31	32503	6	N	N	1	both	*	31
contig_32	40096	3	N	N	1	both	*	32
contig_33	18653	3	N	N	1	both	*	33
contig_34	51754	7	N	N	1	both	*	34
contig_35	21488	4	N	N	1	both	*	35
contig_36	8433	3	N	N	1	both	*	36
contig_39	14215	3	N	N	1	both	*	39
contig_40	17866	3	N	N	1	both	*	40
contig_41	3897	3	N	N	1	both	*	41
contig_42	72826	6	N	N	1	both	*	42
contig_43	3341	3	N	N	1	both	*	43
contig_44	118640	5	N	N	1	both	*	44
contig_45	222065	8	N	N	1	both	*	45
contig_46	40772	4	N	N	1	both	*	46
contig_47	247579	5	N	N	1	both	*	47
contig_48	114355	3	N	N	1	both	*	48
contig_49	232351	5	N	N	1	both	*	49
contig_50	164690	4	N	N	1	both	*	50
contig_51	42871	59	Y	N	10	none	*	51
contig_52	20230	4	N	N	1	both	*	52
contig_9	6005	34	N	Y	6	none	*	9
contig_37	5008	1	N	Y	1	both	4	37
contig_38	5006	3	N	Y	1	both	4	38
