#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_1	20132	3	N	N	1	both	*	1
contig_2	56359	3	N	N	1	both	*	2
contig_3	2707	3	N	N	1	both	*	3
contig_4	57208	3	N	N	1	both	*	4
contig_5	104795	3	N	N	1	both	*	5
contig_6	99894	4	N	N	1	both	*	6
contig_7	55897	3	N	N	1	both	*	7
contig_8	104137	4	N	N	1	both	*	8
contig_9	54132	5	N	N	1	both	*	9
contig_10	197748	3	N	N	1	both	*	10
contig_11	18658	3	N	N	1	both	*	11
contig_13	13427	3	N	N	1	both	*	13
contig_14	164630	3	N	N	1	both	*	14
contig_15	79547	5	N	N	1	both	*	15
contig_16	54467	4	N	N	1	both	*	16
contig_17	132203	4	N	N	1	both	*	17
contig_18	49615	3	N	N	1	both	*	18
contig_19	22667	3	N	N	1	both	*	19
contig_20	6770	3	N	N	1	both	*	20
contig_22	90019	3	N	N	1	left	*	22,21
contig_24	134903	5	N	N	1	none	*	24,21
contig_25	62703	4	N	N	1	both	*	25
contig_26	113938	4	N	N	1	both	*	26
contig_27	72281	3	N	N	1	right	*	27
contig_28	7900	5	N	N	1	both	*	28
contig_29	82598	3	N	N	1	left	*	29
contig_30	11984	5	N	N	1	both	*	30
contig_31	7802	3	N	N	1	both	*	31
contig_32	105696	4	N	N	1	both	*	32
contig_33	31051	3	N	N	1	both	*	33
contig_34	39741	6	N	N	2	both	*	34
contig_35	85269	4	N	N	1	both	*	35,64
contig_36	26154	3	N	N	1	both	*	-64,36
contig_37	17897	4	N	N	1	both	*	37
contig_38	57746	3	N	N	1	both	*	38
contig_39	39436	4	N	N	1	both	*	39
contig_40	75545	3	N	N	1	both	*	40
contig_41	179287	4	N	N	1	both	*	41
contig_42	27545	5	N	N	1	both	*	42
contig_43	18842	3	N	N	1	both	*	43
contig_44	34465	4	N	N	1	both	*	44
contig_45	16383	4	N	N	1	both	*	45
contig_46	56180	5	N	N	1	both	*	46
contig_47	8595	3	N	N	1	both	*	47
contig_48	45227	3	N	N	1	both	*	48
contig_49	3808	3	N	N	1	both	*	49
contig_50	11190	3	N	N	1	both	*	50
contig_51	143493	3	N	N	1	both	*	51
contig_52	123576	3	N	N	1	both	*	52
contig_53	14304	21	Y	N	5	none	*	53
contig_54	69222	3	N	N	1	both	*	54
contig_55	118995	3	N	N	1	both	*	55
contig_56	12004	21	Y	N	5	none	*	56
contig_57	51255	3	N	N	1	both	*	57
contig_58	84973	3	N	N	1	both	*	58
contig_59	111011	3	N	N	1	both	*	59
contig_60	59032	3	N	N	1	both	*	60
contig_61	7402	4	N	N	1	left	*	61,21
contig_62	42766	26	Y	N	7	none	*	62
contig_63	32973	3	N	N	1	both	*	63
contig_65	84948	3	N	N	1	both	*	65
contig_12	1527	5	N	Y	1	both	4	12
contig_23	2630	2	N	Y	1	none	*	23
