#seq_name	length	coverage
contig_9	2994	2
contig_8	512	0
contig_6	3710	5
contig_4	4969	5
contig_10	5462	4
contig_12	7451	3
contig_3	6086	6
contig_15	6583	2
contig_16	4679	3
contig_5	15423	3
contig_20	11287	1
contig_22	4048	0
contig_24	2413	1
contig_21	10489	4
contig_19	13145	3
contig_13	17960	6
contig_11	20374	6
contig_30	5701	1
contig_26	13905	3
contig_44	10922	3
contig_14	31987	5
contig_23	29937	4
contig_18	21736	4
contig_17	29603	6
contig_27	34813	3
contig_49	13641	4
contig_28	35298	4
contig_52	12563	3
contig_7	51736	5
contig_25	33100	6
contig_54	3719	4
contig_50	21587	4
contig_56	4113	3
contig_45	35261	6
contig_47	37190	4
contig_31	861	0
contig_57	10646	1
contig_53	18342	4
contig_48	32944	3
contig_35	1868	2
contig_32	7517	5
contig_34	3824	3
contig_37	1000	0
contig_36	2104	2
contig_41	2016	5
contig_42	489	0
contig_51	32336	4
contig_38	7014	2
contig_40	10473	1
contig_58	5166	1
contig_39	9109	6
contig_55	36561	3
contig_29	24396	4
contig_46	20616	11
contig_33	75860	18
contig_1	45180	238
contig_2	4675327	232
